Successfull forks, Failed forks, Average honest reward, Average malicious reward
1,1,235320.68181818182,206901.5
4,1,213143.86363636365,230392.5
2,1,224232.27272727274,224971.5
0,4,265300.45454545453,115648.0
2,3,246409.0909090909,176182.5
1,5,262425.6818181818,109323.5
1,1,238195.45454545456,200577.0
1,3,245998.4090909091,151788.0
2,1,241070.22727272726,187928.0
2,1,224232.27272727274,224971.5
0,0,238195.45454545456,206901.5
3,0,213143.86363636365,236717.0
0,1,243534.31818181818,182507.0
1,2,243534.31818181818,188831.5
2,2,246409.0909090909,163533.5
1,4,268175.2272727273,102999.0
2,3,243534.31818181818,182507.0
2,3,243534.31818181818,176182.5
1,1,246409.0909090909,176182.5
1,2,243534.31818181818,188831.5
0,3,262836.36363636365,146367.0
1,2,237784.77272727274,182507.0
4,2,221357.5,205998.0
2,2,237784.77272727274,176182.5
3,0,213143.86363636365,236717.0
2,1,232445.9090909091,206901.5
1,0,221357.5,237620.5
1,1,232445.9090909091,213226.0
2,4,259961.5909090909,121069.0
1,1,252158.63636363635,188831.5
1,1,238195.45454545456,213226.0
1,1,238195.45454545456,206901.5
0,3,268585.9090909091,146367.0
1,0,227107.04545454544,237620.5
0,2,257497.5,170761.5
1,2,243534.31818181818,188831.5
2,3,246409.0909090909,182507.0
3,3,240659.54545454544,176182.5
2,1,235320.68181818182,200577.0
3,1,207394.31818181818,243041.5
2,3,248873.18181818182,151788.0
0,4,268175.2272727273,121972.5
4,1,210269.0909090909,236717.0
4,2,224232.27272727274,212322.5
1,3,251747.95454545456,164437.0
0,2,254622.72727272726,158112.5
1,1,235320.68181818182,206901.5
3,1,210269.0909090909,236717.0
1,2,246409.0909090909,182507.0
3,1,227107.04545454544,212322.5
2,0,218893.4090909091,249366.0
2,1,229571.13636363635,200577.0
1,3,251747.95454545456,164437.0
1,1,243534.31818181818,188831.5
1,1,229571.13636363635,213226.0
1,1,235320.68181818182,206901.5
2,2,232445.9090909091,200577.0
2,3,237784.77272727274,169858.0
1,1,232445.9090909091,213226.0
0,4,268175.2272727273,121972.5
0,5,279263.63636363635,97578.0
2,3,234910.0,163533.5
0,1,243534.31818181818,188831.5
1,1,232445.9090909091,213226.0
1,3,251747.95454545456,158112.5
1,2,246409.0909090909,176182.5
1,1,235320.68181818182,200577.0
1,3,251747.95454545456,164437.0
3,1,210269.0909090909,249366.0
1,0,221357.5,237620.5
1,1,238195.45454545456,206901.5
2,1,224232.27272727274,218647.0
3,1,210269.0909090909,236717.0
1,0,224232.27272727274,224971.5
3,0,207805.0,261111.5
1,4,257086.81818181818,133718.0
1,2,243534.31818181818,188831.5
2,1,224232.27272727274,224971.5
0,0,232445.9090909091,213226.0
1,2,240659.54545454544,182507.0
1,1,229571.13636363635,213226.0
2,2,240659.54545454544,182507.0
1,1,238195.45454545456,206901.5
0,1,246409.0909090909,195156.0
2,2,232445.9090909091,200577.0
2,3,237784.77272727274,182507.0
2,0,224232.27272727274,218647.0
2,4,243123.63636363635,158112.5
3,2,218482.72727272726,218647.0
1,1,232445.9090909091,194252.5
2,1,224232.27272727274,224971.5
3,0,213143.86363636365,249366.0
1,1,232445.9090909091,200577.0
1,3,248873.18181818182,164437.0
3,0,202055.45454545456,267436.0
4,0,188092.27272727274,272857.0
