Successfull forks, Failed forks, Average honest reward, Average malicious reward
1,5,268175.2272727273,109323.5
1,4,259961.5909090909,133718.0
4,2,227107.04545454544,205998.0
2,2,232445.9090909091,200577.0
0,4,273924.7727272727,115648.0
2,3,248873.18181818182,158112.5
1,0,227107.04545454544,218647.0
1,4,259961.5909090909,127393.5
2,4,251747.95454545456,139139.0
1,3,262836.36363636365,127393.5
1,3,251747.95454545456,158112.5
1,4,268175.2272727273,109323.5
1,3,248873.18181818182,158112.5
3,1,221357.5,224971.5
2,1,241070.22727272726,200577.0
3,3,237784.77272727274,150884.5
3,4,245998.4090909091,139139.0
3,3,232445.9090909091,194252.5
0,2,260372.27272727274,170761.5
3,2,232445.9090909091,194252.5
4,2,218482.72727272726,205998.0
4,0,204930.22727272726,267436.0
2,3,243534.31818181818,176182.5
2,5,257086.81818181818,127393.5
2,3,243534.31818181818,182507.0
2,1,221357.5,231296.0
3,0,218893.4090909091,236717.0
3,3,237784.77272727274,163533.5
2,2,243534.31818181818,176182.5
3,2,215607.95454545456,218647.0
0,6,290352.04545454547,66859.0
1,4,262836.36363636365,127393.5
1,4,262836.36363636365,121069.0
0,3,268585.9090909091,140042.5
1,4,265711.13636363635,133718.0
2,3,246409.0909090909,182507.0
2,5,259961.5909090909,133718.0
2,4,259961.5909090909,121069.0
2,3,251747.95454545456,158112.5
3,4,248873.18181818182,145463.5
2,2,237784.77272727274,176182.5
1,4,271050.0,115648.0
1,5,265300.45454545453,102999.0
5,0,190967.04545454544,272857.0
3,3,226696.36363636365,194252.5
0,1,240659.54545454544,195156.0
2,4,251747.95454545456,158112.5
0,2,248873.18181818182,164437.0
1,4,273924.7727272727,102999.0
2,1,238195.45454545456,206901.5
1,2,243534.31818181818,188831.5
1,1,238195.45454545456,194252.5
1,2,246409.0909090909,182507.0
1,2,243534.31818181818,176182.5
0,1,249283.86363636365,188831.5
3,0,207805.0,267436.0
2,0,218893.4090909091,243041.5
0,1,246409.0909090909,195156.0
3,2,235320.68181818182,181603.5
2,3,257497.5,145463.5
2,4,254212.04545454544,127393.5
3,2,226696.36363636365,187928.0
0,4,273924.7727272727,115648.0
2,2,249283.86363636365,169858.0
0,3,262836.36363636365,146367.0
1,5,279263.63636363635,91253.5
0,5,276388.86363636365,97578.0
2,4,262836.36363636365,127393.5
1,3,265711.13636363635,133718.0
2,2,246409.0909090909,176182.5
1,5,282138.4090909091,91253.5
2,3,243534.31818181818,176182.5
2,3,251747.95454545456,151788.0
1,0,221357.5,231296.0
3,0,213143.86363636365,243041.5
2,1,232445.9090909091,206901.5
3,2,218482.72727272726,224971.5
2,1,235320.68181818182,194252.5
3,1,221357.5,224971.5
3,1,221357.5,218647.0
3,1,210269.0909090909,243041.5
3,2,215607.95454545456,218647.0
3,3,237784.77272727274,157209.0
1,1,232445.9090909091,213226.0
0,6,284602.5,73183.5
0,6,284602.5,73183.5
1,5,271050.0,109323.5
1,4,257086.81818181818,133718.0
2,2,229571.13636363635,194252.5
5,0,190967.04545454544,279181.5
2,2,232445.9090909091,194252.5
1,1,235320.68181818182,206901.5
2,1,218482.72727272726,224971.5
1,1,229571.13636363635,200577.0
3,0,210269.0909090909,243041.5
2,0,210269.0909090909,249366.0
2,2,232445.9090909091,206901.5
1,1,232445.9090909091,206901.5
2,3,243534.31818181818,182507.0
0,1,249283.86363636365,188831.5
0,2,257497.5,164437.0
1,1,235320.68181818182,213226.0
2,0,210269.0909090909,243041.5
1,2,243534.31818181818,188831.5
1,1,235320.68181818182,200577.0
0,5,276388.86363636365,97578.0
3,2,218482.72727272726,212322.5
0,2,251747.95454545456,164437.0
0,2,251747.95454545456,170761.5
1,1,238195.45454545456,200577.0
3,3,243534.31818181818,163533.5
1,1,246409.0909090909,188831.5
3,2,235320.68181818182,194252.5
4,1,213143.86363636365,230392.5
3,4,245998.4090909091,145463.5
2,2,226696.36363636365,200577.0
3,2,218482.72727272726,224971.5
1,3,245998.4090909091,164437.0
1,2,240659.54545454544,182507.0
2,3,234910.0,176182.5
4,3,215607.95454545456,212322.5
1,3,245998.4090909091,151788.0
1,5,279263.63636363635,91253.5
1,4,276799.54545454547,115648.0
0,6,290352.04545454547,73183.5
2,5,259961.5909090909,127393.5
0,6,293226.8181818182,73183.5
3,4,240659.54545454544,176182.5
2,2,226696.36363636365,206901.5
2,2,229571.13636363635,206901.5
1,4,254212.04545454544,140042.5
3,2,221357.5,224971.5
3,2,229571.13636363635,194252.5
1,2,243534.31818181818,176182.5
1,4,265300.45454545453,115648.0
2,3,237784.77272727274,169858.0
3,2,226696.36363636365,194252.5
3,0,202055.45454545456,248462.5
0,1,249283.86363636365,195156.0
1,0,229981.81818181818,231296.0
1,0,229981.81818181818,231296.0
1,2,243534.31818181818,176182.5
1,1,249283.86363636365,182507.0
0,2,260372.27272727274,170761.5
2,1,227107.04545454544,224971.5
0,2,260372.27272727274,170761.5
0,0,241070.22727272726,219550.5
0,0,243945.0,219550.5
0,0,235320.68181818182,219550.5
0,1,246409.0909090909,182507.0
0,2,251747.95454545456,164437.0
0,1,240659.54545454544,188831.5
1,2,240659.54545454544,188831.5
2,2,232445.9090909091,200577.0
0,0,238195.45454545456,200577.0
